date,restaurant_id,customers,avg_order_value,revenue,food_cost,staff_cost,rent,operating_expenses,net_profit
2023-01-01,1,356,839.31,298794.36,112474.85,10000.01,22959.53,31148.98,122210.99
2023-01-01,2,346,735.68,254545.28,106606.59,43396.92,11519.33,28594.63,64427.81
2023-01-01,3,316,838.91,265095.56,100568.55,41818.3,14066.03,49094.31,59548.37
2023-01-01,4,184,643.61,118424.24,45065.82,39675.39,11128.27,20200.4,2354.37
2023-01-01,5,232,584.34,135566.88,49896.55,25819.96,9963.87,25972.91,23913.59
2023-01-01,6,237,600.14,142233.18,46481.49,45116.72,4691.93,26139.25,19803.79
2023-01-01,7,419,738.91,309603.29,121161.86,13362.46,16639.7,52654.63,105784.63
2023-01-01,8,143,666.87,95362.41,36195.09,9178.2,9709.8,12065.18,28214.13
2023-01-01,9,313,806.04,252290.52,107160.36,16765.31,32628.53,27004.7,68731.62
2023-01-01,10,154,707.27,108919.58,34075.27,48280.84,5013.57,10233.51,11316.38
2023-01-01,11,341,663.8,226355.8,72266.06,32389.0,5697.2,34854.93,81148.61
2023-01-01,12,424,804.28,341014.72,123948.86,21989.34,29181.17,51067.51,114827.84
2023-01-01,13,228,528.28,120447.84,41766.19,55813.25,5164.03,19983.35,-2278.98
2023-01-01,14,352,704.92,248131.84,78943.3,36113.08,21097.03,33577.86,78400.57
2023-01-01,15,285,535.23,152540.55,50800.98,23123.7,8315.7,24589.24,45710.94
2023-01-01,16,194,697.3,135276.2,58026.09,19264.77,12364.93,18599.53,27020.87
2023-01-01,17,338,619.99,209556.62,67026.01,50968.86,17010.83,31864.54,42686.38
2023-01-01,18,285,668.31,190468.35,80210.9,18918.69,9060.63,19672.22,62605.91
2023-01-01,19,467,678.6,316906.2,117272.31,30379.61,22591.53,51070.29,95592.45
2023-01-01,20,186,503.62,93673.32,33759.23,40750.87,7077.03,17635.77,-5549.57
2023-01-02,1,303,613.26,185817.78,68249.39,16067.83,22959.53,23929.01,54612.02
2023-01-02,2,267,818.51,218542.17,80089.06,65136.78,11519.33,33580.04,28216.95
2023-01-02,3,230,839.8,193154.0,82168.51,41757.22,14066.03,36488.7,18673.53
2023-01-02,4,176,519.91,91504.16,34116.98,36756.1,11128.27,13877.22,-4374.41
2023-01-02,5,210,570.95,119899.5,53690.56,13195.39,9963.87,19627.88,23421.81
2023-01-02,6,213,581.52,123863.76,54945.67,47848.95,4691.93,18885.25,-2508.04
2023-01-02,7,317,603.34,191258.78,65889.83,31311.61,16639.7,30814.89,46602.76
2023-01-02,8,159,659.51,104862.09,32357.8,20947.58,9709.8,16690.48,25156.43
2023-01-02,9,341,604.08,205991.28,91484.2,11762.45,32628.53,24117.75,45998.35
2023-01-02,10,146,642.05,93739.3,31428.97,29487.51,5013.57,18694.97,9114.29
2023-01-02,11,236,622.68,146952.48,57738.69,30436.33,5697.2,23086.8,29993.46
2023-01-02,12,312,821.72,256376.64,84768.09,38634.33,29181.17,30560.81,73232.25
2023-01-02,13,218,641.21,139783.78,48225.34,29672.82,5164.03,25844.46,30877.12
2023-01-02,14,329,688.32,226457.28,101853.28,77125.79,21097.03,25308.3,1072.87
2023-01-02,15,261,543.65,141892.65,62431.19,58758.02,8315.7,26020.34,-13632.61
2023-01-02,16,178,517.86,92179.08,39181.8,42463.13,12364.93,16394.33,-18225.12
2023-01-02,17,281,743.11,208813.91,62889.21,46627.15,17010.83,28697.48,53589.24
2023-01-02,18,162,705.34,114265.08,36581.24,16719.24,9060.63,13471.46,38432.51
2023-01-02,19,384,636.26,244323.84,95463.3,30085.38,22591.53,29107.74,67075.88
2023-01-02,20,180,543.36,97804.8,36508.55,69807.27,7077.03,16068.21,-31656.27
2023-01-03,1,276,678.6,187293.6,63961.15,8398.34,22959.53,33529.04,58445.54
2023-01-03,2,310,633.35,196338.5,80731.37,49808.18,11519.33,27512.72,26766.89
2023-01-03,3,129,807.27,104137.83,45361.32,29337.32,14066.03,18603.32,-3230.16
2023-01-03,4,202,515.54,104139.08,33232.53,41954.21,11128.27,20104.57,-2280.5
2023-01-03,5,192,686.57,131821.44,57321.06,12184.74,9963.87,16984.75,35367.03
2023-01-03,6,209,667.23,139451.07,60329.35,28410.45,4691.93,23568.94,22450.39
2023-01-03,7,317,820.37,260057.29,111744.24,31476.53,16639.7,46762.78,53434.04
2023-01-03,8,138,485.95,67061.1,27527.55,15865.74,9709.8,11484.75,2473.26
2023-01-03,9,383,801.94,307143.02,129495.31,15869.73,32628.53,55159.02,73990.44
2023-01-03,10,142,689.32,97883.44,41971.34,34751.6,5013.57,17546.79,-1399.85
2023-01-03,11,213,553.25,117842.25,49411.47,23761.24,5697.2,11642.45,27329.89
2023-01-03,12,339,651.91,220997.49,94952.22,46907.34,29181.17,27466.06,22490.7
2023-01-03,13,198,575.92,114032.16,50992.04,38144.31,5164.03,22517.59,-2785.81
2023-01-03,14,394,831.71,327693.74,107085.46,75341.41,21097.03,41643.12,82526.73
2023-01-03,15,259,584.3,151333.7,61938.12,33801.8,8315.7,24232.91,23045.17
2023-01-03,16,139,572.45,79570.55,30753.08,26006.49,12364.93,13570.38,-3124.34
2023-01-03,17,221,710.77,157080.17,64075.28,43871.5,17010.83,28705.5,3417.05
2023-01-03,18,215,496.79,106809.85,42685.02,23019.2,9060.63,14335.46,17709.53
2023-01-03,19,380,761.53,289381.4,99850.57,19604.97,22591.53,39587.59,107746.73
2023-01-03,20,199,550.96,109641.04,34985.71,44916.25,7077.03,22026.28,635.77
2023-01-04,1,305,812.79,247900.95,97258.29,13850.75,22959.53,37464.12,76368.25
2023-01-04,2,181,680.37,123146.97,47657.6,54907.93,11519.33,16639.03,-7576.92
2023-01-04,3,285,619.84,176654.4,65534.88,39767.97,14066.03,33918.02,23367.49
2023-01-04,4,167,500.35,83558.45,31528.09,59811.75,11128.27,10590.33,-29499.98
2023-01-04,5,205,660.27,135355.35,54266.58,12451.75,9963.87,15727.39,42945.77
2023-01-04,6,175,538.76,94283.0,35004.49,43041.34,4691.93,10183.51,1361.72
2023-01-04,7,304,736.33,223844.32,73681.78,25319.79,16639.7,33924.38,74278.67
2023-01-04,8,131,637.45,83505.95,25121.24,24311.12,9709.8,16330.87,8032.92
2023-01-04,9,343,679.04,232910.72,76018.1,31075.25,32628.53,35032.8,58156.03
2023-01-04,10,153,539.81,82590.93,35287.01,46765.04,5013.57,13647.2,-18121.89
2023-01-04,11,254,717.09,182140.86,70910.69,48926.38,5697.2,35757.74,20848.86
2023-01-04,12,294,761.4,223851.6,84104.79,42408.78,29181.17,34834.0,33322.87
2023-01-04,13,206,658.48,135646.88,50352.28,27478.87,5164.03,17700.24,34951.45
2023-01-04,14,290,774.43,224584.7,84936.8,57488.79,21097.03,27305.05,33757.02
2023-01-04,15,265,548.57,145371.05,49536.24,34067.22,8315.7,22686.34,30765.55
2023-01-04,16,177,535.5,94783.5,38301.3,42568.7,12364.93,10433.58,-8885.02
2023-01-04,17,263,711.93,187237.59,67848.56,24250.59,17010.83,26822.68,51304.92
2023-01-04,18,226,620.18,140160.68,56670.95,38464.14,9060.63,24032.34,11932.61
2023-01-04,19,452,561.65,253865.8,89554.67,31005.86,22591.53,47526.54,63187.2
2023-01-04,20,157,580.57,91149.49,37565.2,51368.13,7077.03,15270.12,-20130.99
2023-01-05,1,255,621.44,158467.2,57900.02,8865.46,22959.53,21960.36,46781.84
2023-01-05,2,302,673.21,203309.42,66026.1,45635.81,11519.33,22105.05,58023.12
2023-01-05,3,296,567.55,167994.8,60327.44,29888.83,14066.03,17667.56,46044.93
2023-01-05,4,200,512.57,102514.0,37853.78,27765.65,11128.27,16034.54,9731.76
2023-01-05,5,198,558.44,110571.12,45796.84,15283.98,9963.87,18618.43,20908.0
2023-01-05,6,188,540.55,101623.4,31735.56,15639.65,4691.93,14828.29,34727.97
2023-01-05,7,338,657.99,222400.62,88409.05,27187.13,16639.7,37076.28,53088.46
2023-01-05,8,148,707.91,104770.68,34564.28,9577.66,9709.8,12900.77,38018.17
2023-01-05,9,373,747.45,278798.85,107224.77,14795.22,32628.53,48834.42,75315.91
2023-01-05,10,138,520.27,71797.26,28078.98,61726.85,5013.57,10722.21,-33744.35
2023-01-05,11,264,711.53,187843.92,59399.03,16727.8,5697.2,23787.16,82232.73
2023-01-05,12,313,828.29,259254.77,93201.61,38595.49,29181.17,28378.19,69898.31
2023-01-05,13,197,630.54,124216.38,39163.59,47240.51,5164.03,23697.67,8950.57
2023-01-05,14,347,593.9,206083.3,92238.07,65776.78,21097.03,27690.79,-719.38
2023-01-05,15,231,568.94,131425.14,49401.94,35014.17,8315.7,22793.23,15900.1
2023-01-05,16,164,505.33,82874.12,36805.9,39971.45,12364.93,16011.65,-22279.82
2023-01-05,17,288,681.94,196398.72,80537.08,52067.37,17010.83,23698.52,23084.91
2023-01-05,18,223,609.16,135842.68,50604.74,26110.19,9060.63,23900.04,26167.08
2023-01-05,19,347,798.48,277072.56,117647.68,13891.01,22591.53,52288.56,70653.77
2023-01-05,20,180,591.53,106475.4,41690.42,42788.12,7077.03,9810.15,5109.68
2023-01-06,1,292,610.92,178388.64,59192.56,22960.26,22959.53,24470.91,48805.38
2023-01-06,2,300,756.33,226899.0,77472.46,23002.48,11519.33,45255.15,69649.58
2023-01-06,3,232,761.62,176695.84,65958.2,35572.83,14066.03,28934.54,32164.24
2023-01-06,4,195,597.8,116571.0,48836.25,30117.93,11128.27,14754.06,11734.5
2023-01-06,5,213,553.49,117893.37,45652.24,17009.78,9963.87,21901.29,23366.2
2023-01-06,6,218,659.02,143666.36,50228.45,38194.21,4691.93,19394.36,31157.41
2023-01-06,7,373,593.78,221479.94,72842.02,12630.2,16639.7,34667.7,84700.32
2023-01-06,8,140,524.44,73421.6,24409.58,18931.34,9709.8,13421.15,6949.74
2023-01-06,9,344,706.9,243173.6,83274.75,12211.57,32628.53,28800.97,86257.77
2023-01-06,10,135,523.07,70614.45,21334.2,50752.27,5013.57,9080.35,-15565.93
2023-01-06,11,306,612.81,187519.86,75872.9,20232.07,5697.2,33170.09,52547.6
2023-01-06,12,375,804.36,301635.0,116464.18,30490.1,29181.17,41836.86,83662.69
2023-01-06,13,192,492.33,94527.36,41701.65,35892.57,5164.03,18312.93,-6543.82
2023-01-06,14,333,580.74,193386.42,76274.86,27016.88,21097.03,21146.18,47851.46
2023-01-06,15,234,552.92,129383.28,58104.44,25211.87,8315.7,23508.55,14242.72
2023-01-06,16,160,669.78,107164.8,35777.3,35827.66,12364.93,15760.87,7434.04
2023-01-06,17,283,800.85,226640.55,101649.35,27863.94,17010.83,36087.45,44028.97
2023-01-06,18,267,657.62,175584.54,77632.69,19428.45,9060.63,21897.65,47565.12
2023-01-06,19,304,603.98,183609.92,59870.06,13593.33,22591.53,18596.58,68958.42
2023-01-06,20,167,622.51,103959.17,35729.61,35215.78,7077.03,18597.8,7338.94
2023-01-07,1,312,687.13,214384.56,86420.08,25271.7,22959.53,38213.54,41519.71
2023-01-07,2,341,745.13,254089.33,111812.08,43544.38,11519.33,40111.44,47102.1
